393,6.4,1872,67,1122
268,4.7,1331,42,944
154,4.0,761,32,322
239,4.8,1676,56,871
187,4.3,1367,58,988
99,2.0,940,35,564
350,7.3,1802,66,1054
543,11.4,2956,82,1702
340,7.7,2138,75,1053
424,6.6,1957,75,1301
53,1.4,435,17,162
215,5.5,1690,47,641
462,6.2,2303,65,1099
215,4.9,1662,43,857
189,5.4,1754,53,779
503,10.4,2571,84,2025
132,3.6,628,32,344
299,5.8,1431,41,985
81,1.4,558,16,297
577,8.5,2774,89,2192
93,2.6,681,37,302
576,11.6,2803,82,1553
423,6.5,2094,65,1372
292,5.6,1401,46,949
216,4.0,1711,59,748
91,3.4,1073,38,451
444,7.6,2372,77,1002
512,10.5,2409,89,1599
452,6.8,2387,77,1456
412,6.2,1899,78,1384
260,6.0,1361,44,889
197,4.6,1660,59,975
278,4.7,1484,55,917
46,2.0,457,14,105
593,10.2,2499,81,1616
32,1.2,580,19,153
122,3.3,755,30,573
522,11.2,2808,93,2328
473,6.4,2312,74,1400
398,6.2,1851,77,1180
240,4.7,1464,52,708
576,10.1,2447,83,2323
120,2.1,720,39,392
152,3.7,993,32,429
138,2.4,837,21,572
502,10.9,2476,96,1935
558,8.4,2447,97,1594
138,3.6,889,25,323
580,8.2,2623,90,2262
589,8.7,2736,82,1997
452,7.4,2180,61,1417
245,5.9,1243,52,885
125,2.7,690,28,393
97,2.2,1101,38,375
516,8.7,2857,83,2189
68,1.6,450,14,111
64,1.1,572,10,161
539,8.4,2796,89,2415
428,7.0,2306,75,1144
325,7.1,2269,64,1053
522,11.9,2798,85,1663
309,7.5,2292,77,1253
79,1.9,493,14,128
545,11.5,2911,87,1717
459,7.0,1982,67,1091
225,4.0,1420,48,917
257,4.5,1705,57,912
134,4.0,773,35,449
516,10.2,2932,98,1547
82,1.7,558,16,284
452,7.2,1808,64,1090
521,9.0,2902,97,1701
457,6.3,2347,66,1082
31,1.1,585,11,208
47,2.0,476,14,125
229,5.7,1305,43,985
34,2.0,558,14,122
173,2.5,678,29,301
78,1.8,333,17,138
230,5.7,1254,52,989
565,10.6,2475,99,1603
172,2.8,1035,22,549
330,7.2,2363,77,1133
39,1.8,368,11,105
223,4.5,1311,56,695
404,7.4,2081,63,1352
151,2.4,1003,25,392
34,1.5,345,11,276
137,3.3,839,31,348
301,6.2,2053,75,1303
116,2.1,912,39,307
291,4.1,1474,46,827
84,1.4,501,16,284
134,2.5,1125,24,367
411,7.5,2169,72,1083
326,7.2,2243,73,1454
550,9.5,2916,91,1946
516,12.0,2406,82,1968
59,1.2,361,18,293
225,5.5,1526,44,875
41,1.1,389,15,136
183,4.1,1210,45,738
174,2.5,929,37,565
274,4.2,1781,52,934
166,2.8,1113,28,360
66,1.2,585,12,264
152,2.7,642,38,596
54,1.4,403,17,278
187,5.5,1754,55,711
216,6.0,1641,41,889
95,3.8,718,26,459
488,8.6,2447,84,2344
295,5.1,1483,45,748
136,3.2,818,33,404
471,7.9,2156,76,1324
121,3.2,651,34,596
75,1.2,409,13,281
220,5.2,1631,49,909
82,1.6,590,13,124
97,2.7,1018,37,428
388,6.6,2085,71,1150
529,8.7,2484,89,2189
584,10.0,2541,99,2391
529,8.1,2686,96,1924
227,5.1,1702,57,714
535,11.8,2858,99,2378
332,7.4,2149,68,1321
252,4.2,1439,45,667
125,2.5,678,34,465
97,3.3,751,39,412
540,10.8,2923,90,1886
320,7.2,2056,69,1226
176,3.6,1193,30,458
79,1.0,313,18,139
83,1.6,303,19,285
555,11.3,2528,90,1856
66,1.7,375,16,216
237,4.5,1368,42,868
497,9.7,2876,94,2076
516,11.1,2429,91,1796
219,5.2,1510,42,655
448,6.3,2044,71,1337
156,2.2,896,37,429
68,1.1,528,12,201
524,11.2,2417,90,2069
188,5.3,1281,45,974
443,7.4,2289,73,1026
52,1.6,385,19,234
228,4.2,1677,58,823
149,3.7,873,34,459
523,9.4,2583,92,1539
42,1.6,315,19,207
120,2.0,741,38,396
329,7.5,2277,72,1185
68,1.5,364,10,102
158,3.4,893,36,493
86,1.7,439,19,136
339,7.8,2102,71,1062
304,6.5,2375,79,1493
131,2.4,859,26,305
64,1.6,540,19,262
53,1.9,526,15,112
442,7.7,2067,69,1440
32,2.0,469,18,139
278,4.8,1238,48,851
540,8.4,2993,98,1540
595,11.3,2968,88,2366
35,1.5,467,10,158
225,5.4,1370,44,791
587,11.8,2431,90,1894
92,3.7,1124,27,524
46,1.1,487,17,208
153,2.8,935,25,578
368,6.6,1817,72,1406
51,1.6,509,11,113
279,5.2,1660,47,629
255,5.4,1738,42,826
193,5.7,1471,51,972
207,5.7,1582,52,692
539,11.9,2853,83,2007
151,2.4,1124,38,571
474,6.4,2109,68,1079
544,9.2,2936,83,2416
73,1.2,308,15,275
597,10.4,2984,91,1564
498,10.7,2738,94,1995
402,7.8,2014,79,1088
75,1.1,379,15,185
130,2.0,602,21,589
42,1.1,402,11,265
134,2.2,917,23,423
79,1.9,477,13,161
432,7.2,1822,63,1127
262,4.1,1287,52,997
473,6.4,2109,79,1300
202,4.7,1512,49,659
215,4.4,1407,41,991
151,3.7,1116,32,320
80,1.6,549,14,197
126,2.8,971,32,431
495,8.9,2920,84,2252
127,3.7,1153,35,314
88,1.3,327,11,262
69,1.6,463,16,146
100,3.3,961,21,433
301,6.5,2084,71,1421
78,1.7,455,15,207
163,3.1,620,21,419
539,9.3,2606,92,1990
278,4.6,1385,47,823
